model_key,contest_number,contest_name,contest_family,candidate,candidate_clean,candidate_votes,contest_votes,candidate_share,n_precincts,base_r2,expanded_r2,gain_vs_base,r2_no_prior,prior_unique_gain,r2_prior_only,new_demo_unique_gain,prior_count,prior_cols,mean_abs_resid_pp,valid_model,reliability
75_doni_crawford,75,AT-LARGE MEMBER OF THE COUNCIL OF THE COLUMBIA,AT-LARGE COUNCIL,Doni Crawford,DONI CRAWFORD,24270,95976,25.287571892973244,144,0.42826211438870854,0.5700188504840376,0.14175673609532902,0.5700188504840376,0.0,,0.14175673609532902,0,,2.2886237314271134,True,low
17_candace_tiana_nelson,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Candace Tiana Nelson,CANDACE TIANA NELSON,7213,94144,7.661667233174711,144,0.5470095267504884,0.5564086846671052,0.00939915791661683,0.5564086846671052,0.0,,0.00939915791661683,0,,1.5405731859453333,True,low
27_alan_karnofsky,27,DEM AT-LARGE COMMITTEEMAN ,AT-LARGE COUNCIL,Alan Karnofsky,ALAN KARNOFSKY,22975,371910,6.177569842166116,144,0.3113772629722845,0.5409581267220531,0.2295808637497686,0.5409581267220531,0.0,,0.2295808637497686,0,,0.9047167957794952,True,low
17_oye_owolewa,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Oye Owolewa,OYE OWOLEWA,32012,94144,34.003229095853165,144,0.26796976137650974,0.47098653322531936,0.20301677184880962,0.47098653322531936,0.0,,0.20301677184880962,0,,4.557501365049748,True,low
17_greg_jackson,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Greg Jackson,GREG JACKSON,10321,94144,10.962992861998641,144,0.33733824035631,0.4113491550327397,0.07401091467642973,0.4113491550327397,0.0,,0.07401091467642973,0,,1.839305620579378,True,low
17_dyana_n_m_forester,17,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Dyana N. M. Forester,DYANA N M FORESTER,3522,94144,3.7410774983004758,144,0.11530835810555284,0.15864425014230454,0.0433358920367517,0.15864425014230454,0.0,,0.0433358920367517,0,,0.8381588651116061,True,low
48_darrell_green,48,REP AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Darrell Green,DARRELL GREEN,2076,2076,100.0,142,-inf,-inf,,-inf,,,,0,,4.2532487703949656e-14,False,exclude
67_darryl_moch,67,STG AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,AT-LARGE COUNCIL,Darryl Moch,DARRYL MOCH,417,417,100.0,122,-inf,-inf,,-inf,,-inf,,1,zprior_2024_general_certified_november_5_2024_general_election_certifi_darryl_moch,9.050683699763899e-14,False,exclude
22_brian_l_schwalb,22,DEM ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,ATTORNEY GENERAL,Brian L. Schwalb,BRIAN L SCHWALB,84097,92568,90.84888946504192,142,0.05828805456321906,0.1981849417234679,0.13989688716024884,0.13129257692356744,0.06689236479990046,0.0025909910756368726,0.06568406831854279,1,zprior_2022_primary_certified_june_21_2022_primary_election_certified__brian_schwalb,1.4571497449577453,True,low
22_j_p_szymkowicz,22,DEM ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,ATTORNEY GENERAL,J.P. Szymkowicz,J P SZYMKOWICZ,8471,92568,9.151110534958084,144,0.05828805456321884,0.131292576923567,0.07300452236034816,0.131292576923567,0.0,,0.07300452236034816,0,,1.5114645024708517,True,low
53_manuel_rivera,53,ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,ATTORNEY GENERAL,Manuel Rivera,MANUEL RIVERA,2077,2077,100.0,144,-inf,-inf,,-inf,,,,0,,4.2237818181294846e-14,False,exclude
16_phil_mendelson,16,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,PHIL MENDELSON,75485,75485,100.0,141,-inf,-inf,,-inf,,-inf,,4,"zprior_2022_primary_certified_june_21_2022_primary_election_certified__phil_mendelson, zprior_2022_general_certified_november_8_2022_general_election_certifi_phil_mendelson, zprior_2018_primary_certified_june_19_2018_primary_election_certified__phil_mendelson, zprior_2018_general_certified_november_6_2018_general_election_certifi_phil_mendelson",8.365254903274938e-14,False,exclude
