model_key,contest_name,contest_family,candidate,term,coef_pp_per_sd,p_value,unique_drop_r2,expanded_r2,term_group,valid_model,reliability
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zpTransit,1.6927485333299126,0.04019886576342279,0.009575428306067724,0.6988059079447951,transit,True,low
14_robert_white,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,zdensity,2.6614584868972937,0.0005659858642138699,0.02782426028174456,0.6988059079447951,density,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zpBlk,0.02477116618063757,0.9453348229088048,2.2486854499126352e-05,0.35668357755696967,black_share,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zmedAge,0.016842230934407537,0.9141496463898203,5.5590851881115455e-05,0.35668357755696967,median_age,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zmedInc,-0.24094012200677462,0.35363607107533124,0.004128306153286854,0.35668357755696967,income,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zpCollege,-0.33840679726430134,0.42419385575072066,0.003061997294325658,0.35668357755696967,college,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zpRenter,0.5546183660266896,0.009411709260662206,0.0330732093142172,0.35668357755696967,renter,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zp2534,-0.12170330509698381,0.5462499163007742,0.0017437400309394668,0.35668357755696967,age_25_34,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zpTransit,0.13667327099837845,0.3565483217707912,0.0040784742173328725,0.35668357755696967,transit,True,low
14_trent_holbrook,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,zdensity,-0.16793473951998905,0.21992677148154122,0.007238066216491035,0.35668357755696967,density,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zpBlk,0.2270706465082381,0.029095286143937672,0.01818175244759823,0.5031264157459584,black_share,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zmedAge,-0.05187176087097972,0.24428905283049004,0.005109796785332188,0.5031264157459584,median_age,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zmedInc,0.02782365608839982,0.7066698068820612,0.0005313761991597721,0.5031264157459584,income,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zpCollege,-0.06645833949414626,0.5888139756298114,0.0010969484631627724,0.5031264157459584,college,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zpRenter,0.15163121778041086,0.012631961452620749,0.02388029476325515,0.5031264157459584,renter,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zp2534,-0.08515157516179533,0.15040546641800331,0.007816226975712492,0.5031264157459584,age_25_34,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zpTransit,0.1053618102910264,0.013472595386133343,0.02343259042230017,0.5031264157459584,transit,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zdensity,0.02269311839636339,0.5771862677978217,0.0011668764835660594,0.5031264157459584,density,True,low
15_ernest_e_johnson,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,zprior_2018_primary_certified_june_19_2018_primary_election_certified__ernest_e_johnson,-0.016233548480070893,0.7458503339359226,0.008703461113659605,0.5031264157459584,prior_territory,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zpBlk,-1.1043620570153094,0.0004299876676469034,0.03872240439867969,0.5989394841375644,black_share,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zmedAge,0.061611068966518995,0.6421718099365691,0.0006443351574353384,0.5989394841375644,median_age,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zmedInc,-0.29865754436964714,0.17574377158640694,0.0055038720106170835,0.5989394841375644,income,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zpCollege,0.6827692401132228,0.05821314040420473,0.010841436769442492,0.5989394841375644,college,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zpRenter,0.2550150252140412,0.15631338440623185,0.006037069790625904,0.5989394841375644,renter,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zp2534,-0.18174813653183902,0.2879038520226074,0.0033818553594509027,0.5989394841375644,age_25_34,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zpTransit,0.0013608867270857583,0.9913536484490981,3.501768801594807e-07,0.5989394841375644,transit,True,low
15_gary_goodweather,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,zdensity,-0.14916894969482547,0.19772198235229288,0.0049778578117223304,0.5989394841375644,density,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zpBlk,-1.0286376488428246,2.7999623021426617e-06,0.12395408565717314,0.3006767342657001,black_share,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zmedAge,-0.08684806500954849,0.3413066129954404,0.0047240152045331385,0.3006767342657001,median_age,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zmedInc,-0.25239232381833837,0.09659209706874063,0.01450341530770849,0.3006767342657001,income,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zpCollege,-0.4578715076999126,0.06455845617596637,0.017989655125030812,0.3006767342657001,college,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zpRenter,0.1006393578117383,0.4145970190594507,0.003469181516787323,0.3006767342657001,renter,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zp2534,-0.2461195068223478,0.03743367616273138,0.022882518407513763,0.3006767342657001,age_25_34,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zpTransit,-0.10311802405217436,0.233523775159878,0.007418384333478745,0.3006767342657001,transit,True,low
15_hope_solomon,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,zdensity,-0.18541237021671617,0.020723326300421997,0.028376556159874222,0.3006767342657001,density,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zpBlk,2.364851236438609,0.2505521122923546,0.004526182987698579,0.5411419318840477,black_share,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zmedAge,-3.084317618198871,0.0006756921793146385,0.04116210949141352,0.5411419318840477,median_age,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zmedInc,-2.804714167079731,0.05851966264924647,0.012373246244464786,0.5411419318840477,income,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zpCollege,1.5870939587736093,0.5085791005627662,0.0014932389761962428,0.5411419318840477,college,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zpRenter,-3.8351059388392157,0.0017133980762039395,0.03480442646359461,0.5411419318840477,renter,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zp2534,3.194824036293803,0.005869538557626328,0.02663753757917664,0.5411419318840477,age_25_34,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zpTransit,2.1181556127487546,0.012819624707325693,0.02162441320650721,0.5411419318840477,transit,True,low
15_janeese_lewis_george,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,zdensity,3.437577021661296,1.7617827607162568e-05,0.06738691772602601,0.5411419318840477,density,True,low
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zpBlk,-1.2958391171361843,0.4417846265636982,0.0014329259691773233,0.6749616260803221,black_share,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zmedAge,3.1401941055460774,2.9715623249680166e-05,0.044987260626001,0.6749616260803221,median_age,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zmedInc,3.5876548371268324,0.0034450452514864097,0.02134641130757442,0.6749616260803221,income,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zpCollege,-1.3828078175487208,0.48229376229140075,0.0011952116534578172,0.6749616260803221,college,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zpRenter,3.160172881969137,0.0016217865707863525,0.024917161187221315,0.6749616260803221,renter,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zp2534,-3.6822389128413224,0.00013181744993108347,0.037309655747931214,0.6749616260803221,age_25_34,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zpTransit,-2.1238365682485467,0.0024653648004083093,0.02292281347571823,0.6749616260803221,transit,True,medium
15_kenyan_r_mcduffie,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,zdensity,-2.980643174044783,6.0690293675569065e-06,0.053418024018164756,0.6749616260803221,density,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zpBlk,-0.36203251628332384,0.12976286244081847,0.0041524701367453565,0.758745050149077,black_share,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zmedAge,-0.17547009114904694,0.08987832395296726,0.00521521890265042,0.758745050149077,median_age,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zmedInc,0.07837276284714617,0.6462313719027843,0.0003782018582130231,0.758745050149077,income,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zpCollege,0.35365601687534376,0.2047011281425775,0.002902505473037831,0.758745050149077,college,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zpRenter,-0.04700138709060343,0.7355919336221616,0.0002046388117964426,0.758745050149077,renter,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zp2534,0.9363753258631969,7.16695698211373e-11,0.0895750410746361,0.758745050149077,age_25_34,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zpTransit,0.10292615156260655,0.292136793570875,0.0019987891326859186,0.758745050149077,transit,True,medium
15_rini_sampath,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,zdensity,0.05871325884181461,0.5128050378163018,0.0007695378648230333,0.758745050149077,density,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zpBlk,1.1936155675995874,6.270022242106043e-05,0.025766197215156494,0.7962817508076183,black_share,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zmedAge,0.19732013083083752,0.1165684560911727,0.003764602669782846,0.7962817508076183,median_age,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zmedInc,-0.32440120129613614,0.1197789551102636,0.003698863198889013,0.7962817508076183,income,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zpCollege,-0.7424470221363224,0.0295244577764583,0.0073021693664052645,0.7962817508076183,college,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zpRenter,0.22276172559235957,0.18951749267062512,0.0026239636847896763,0.7962817508076183,renter,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zp2534,0.0921860401225646,0.5675435224024822,0.0004955955879950569,0.7962817508076183,age_25_34,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zpTransit,-0.09753391644659293,0.4114003341486422,0.0010245587221653363,0.7962817508076183,transit,True,medium
15_vincent_orange_vo,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",zdensity,-0.2170205042254088,0.04813559305566888,0.006001629415792631,0.7962817508076183,density,True,medium
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zpBlk,-4.032864466004051e-15,0.9156424126005026,,-inf,black_share,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zmedAge,-7.267713965695727e-15,0.6539355064956649,,-inf,median_age,False,exclude
